date,symbol,quantity,activityType,unitPrice,amount,currency,fee,comment
2026-02-09,000083.FUND,319.53,ADD_HOLDING,7.6988,2460.00,CNY,0,汇添富消费行业混合
2026-02-09,180012.FUND,225.23,ADD_HOLDING,5.7719,1300.01,CNY,0,银华富裕主题混合A
2026-02-09,004871.FUND,3470.95,ADD_HOLDING,1.4866,5159.91,CNY,0,中银金融地产混合A
2026-02-09,110031.FUND,2932.49,ADD_HOLDING,1.1594,3399.93,CNY,0,易方达恒生H股联接(QDII)A人民币
2026-02-09,000960.FUND,396.65,ADD_HOLDING,2.9245,1160.00,CNY,0,招商医药健康产业股票
2026-02-09,164906.FUND,726.93,ADD_HOLDING,1.3756,999.96,CNY,0,交银施罗德中证海外中国互联网指数(QDII-LOF)A
2026-02-09,160322.FUND,4268.93,ADD_HOLDING,1.3821,5900.09,CNY,0,华夏港股通精选股票(LOF)A
2026-02-09,501303.FUND,3159.51,ADD_HOLDING,0.9881,3121.91,CNY,0,广发港股通恒生综合中型股指数(LOF)A
2026-02-09,519674.FUND,336.35,ADD_HOLDING,6.1788,2078.24,CNY,0,银河创新成长混合A
2026-02-09,003016.FUND,4391.62,ADD_HOLDING,1.5029,6600.17,CNY,0,中金中证500指数增强A
2026-02-09,000948.FUND,1418.84,ADD_HOLDING,1.2123,1720.06,CNY,0,华夏沪港通恒生ETF联接A
2026-02-09,000950.FUND,3374.03,ADD_HOLDING,1.1262,3799.83,CNY,0,易方达证券保险ETF联接A
2026-02-09,481017.FUND,516.13,ADD_HOLDING,3.3325,1720.00,CNY,0,工银瑞信基本面量化策略混合A
2026-02-09,003956.FUND,781.21,ADD_HOLDING,2.0378,1591.95,CNY,0,南方产业智选股票A
2026-02-09,006105.FUND,42949.93,ADD_HOLDING,1.3155,56500.63,CNY,0,宏利印度机会股票(QDII)A
